,gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
24,0,0,1,2,2,1,0,0,121,1,0,1,0,0,0,0,0,0,0,0,0,3,3,4,3,3,3,4,4,3,4,2,0,0,2,3,2,3,3,1,3,2,3,4,3,3,3,0,3,3,0,2,0
25,0,0,1,2,2,1,0,0,121,1,0,0,0,0,1,0,0,0,0,0,0,3,3,4,3,3,2,4,4,2,4,3,0,0,2,3,2,3,3,1,3,2,3,4,3,3,3,0,3,2,0,2,0
27,0,0,0,2,2,1,0,0,121,4,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,3,4,4,4,3,3,0,0,2,3,2,3,3,1,3,2,3,4,3,3,3,0,3,2,0,4,1
28,0,0,1,0,2,0,0,0,121,1,0,0,0,0,0,0,1,0,1,0,0,2,3,3,4,2,2,4,3,2,3,2,4,3,4,3,3,3,4,0,2,3,0,2,2,2,1,0,0,3,1,2,1
29,0,0,0,0,2,0,0,0,121,2,0,0,1,0,0,0,1,0,1,0,0,2,3,3,4,2,2,4,4,2,3,0,4,3,4,3,3,3,4,0,2,3,0,2,2,2,1,0,0,3,1,3,1
30,0,0,0,0,0,1,0,0,121,0,0,0,0,0,0,0,1,0,1,0,0,2,3,3,4,2,1,3,4,1,1,0,4,3,4,3,3,3,4,0,2,3,0,2,2,2,1,0,0,1,1,2,0
31,0,0,0,0,2,0,0,0,121,1,0,0,1,0,0,0,1,0,1,0,0,2,3,3,4,2,3,2,3,3,0,3,4,3,4,3,3,3,4,0,2,3,0,2,2,2,1,0,0,2,1,4,1
33,0,0,0,0,2,0,0,0,121,2,0,1,0,0,0,0,1,0,1,0,0,2,3,3,4,2,1,3,2,0,0,0,4,3,4,3,3,3,4,0,2,3,0,2,2,2,1,0,0,2,1,0,0
34,0,0,1,0,2,0,0,0,121,1,0,1,0,0,0,0,1,0,1,0,0,2,3,3,4,2,3,3,3,3,1,1,4,3,4,3,3,3,4,0,2,3,0,2,2,2,1,0,0,3,1,3,1
36,0,0,1,0,2,0,0,0,121,2,0,1,0,0,0,0,1,0,1,0,0,2,3,3,4,2,3,2,3,3,2,4,4,3,4,3,3,3,4,0,2,3,0,2,2,2,1,0,0,3,1,4,1
37,0,0,0,0,2,0,0,0,121,4,0,0,0,0,0,0,1,0,1,0,0,2,3,3,4,2,3,4,4,4,4,3,4,3,4,3,3,3,4,0,2,3,0,2,2,2,1,0,0,3,1,4,1
39,0,0,0,0,2,0,0,1,121,2,0,0,1,0,0,0,0,1,0,0,0,2,2,2,3,3,2,2,3,1,4,1,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,3,3,3,0
40,0,0,0,0,0,1,0,1,121,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,3,3,1,2,3,3,3,3,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,3,3,3,0
41,0,0,0,0,2,0,0,1,121,1,0,0,1,0,0,0,0,1,0,0,0,2,2,2,3,3,3,3,3,3,3,2,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,1,3,3,1
42,0,0,0,0,3,0,0,1,121,1,0,0,0,0,0,0,0,1,0,0,0,2,2,2,3,3,1,3,3,1,3,2,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,1,3,2,0
43,0,0,0,0,2,0,0,1,121,2,0,1,0,0,0,0,0,1,0,0,0,2,2,2,3,3,1,3,3,1,2,1,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,3,3,2,0
44,0,0,1,0,2,0,0,1,121,1,0,1,0,0,0,0,0,1,0,0,0,2,2,2,3,3,3,3,3,3,3,3,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,3,3,3,1
45,0,0,1,0,2,0,0,1,121,1,0,0,0,0,1,0,0,1,0,0,0,2,2,2,3,3,2,3,3,2,4,2,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,2,3,2,0
46,0,0,1,0,2,0,0,1,121,2,0,1,0,0,0,0,0,1,0,0,0,2,2,2,3,3,2,2,3,3,3,2,2,1,1,4,4,4,0,1,3,3,3,4,4,4,4,4,4,1,3,2,1
48,0,0,1,4,2,0,0,0,132,1,0,0,0,0,0,0,0,0,1,0,0,3,2,4,3,3,3,4,4,3,3,2,1,1,0,3,2,3,0,0,4,3,3,4,4,4,4,3,1,2,2,2,1
49,0,0,0,4,2,0,0,0,132,2,0,0,1,0,0,0,0,0,1,0,0,3,2,4,3,3,4,4,4,4,4,4,1,1,0,3,2,3,0,0,4,3,3,4,4,4,4,3,1,2,2,4,1
51,0,0,0,4,2,0,0,0,132,1,0,0,1,0,0,0,0,0,1,0,0,3,2,4,3,3,4,4,3,3,3,3,1,1,0,3,2,3,0,0,4,3,3,4,4,4,4,3,1,1,2,3,1
52,0,0,0,4,3,0,0,0,132,1,0,0,0,0,0,0,0,0,1,0,0,3,2,4,3,3,2,4,3,3,2,2,1,1,0,3,2,3,0,0,4,3,3,4,4,4,4,3,1,2,2,2,1
54,0,0,1,4,2,0,0,0,132,1,0,1,0,0,0,0,0,0,1,0,0,3,2,4,3,3,2,3,4,2,2,2,1,1,0,3,2,3,0,0,4,3,3,4,4,4,4,3,1,3,2,3,1
55,0,0,1,4,2,0,0,0,132,1,0,0,0,0,1,0,0,0,1,0,0,3,2,4,3,3,2,3,3,3,4,2,1,1,0,3,2,3,0,0,4,3,3,4,4,4,4,3,1,2,2,3,1
57,0,0,0,4,2,0,0,0,132,4,0,0,0,0,0,0,0,0,1,0,0,3,2,4,3,3,3,3,3,3,3,3,1,1,0,3,2,3,0,0,4,3,3,4,4,4,4,3,1,1,2,3,1
58,1,1,0,2,0,0,3,1,82,0,0,0,0,0,0,1,0,0,0,0,0,3,4,3,3,2,2,3,3,3,3,2,3,3,0,2,3,2,2,1,1,3,0,1,3,3,3,2,0,2,3,3,0
59,1,1,0,2,2,1,3,1,82,2,0,1,0,0,0,1,0,0,0,0,0,3,4,3,3,2,3,3,2,4,3,1,3,3,0,2,3,2,2,1,1,3,0,1,3,3,3,2,0,3,3,3,0
60,1,1,0,2,2,1,3,1,82,1,0,1,0,0,0,1,0,0,0,0,0,3,4,3,3,2,3,3,2,2,3,1,3,3,0,2,3,2,2,1,1,3,0,1,3,3,3,2,0,1,3,2,0
61,1,1,0,2,2,1,3,1,82,0,0,0,0,0,0,1,0,0,0,0,0,3,4,3,3,2,2,3,3,3,3,2,3,3,0,2,3,2,2,1,1,3,0,1,3,3,3,2,0,2,3,2,0
62,1,1,0,2,2,1,3,1,82,0,0,1,1,0,0,1,0,0,0,0,0,3,4,3,3,2,2,3,3,3,3,2,3,3,0,2,3,2,2,1,1,3,0,1,3,3,3,2,0,1,3,2,0
63,1,1,0,2,0,0,3,1,82,0,1,0,1,0,0,1,0,0,0,0,0,3,4,3,3,2,3,4,3,4,3,1,3,3,0,2,3,2,2,1,1,3,0,1,3,3,3,2,0,3,3,3,0
64,1,1,0,2,0,0,3,1,82,0,0,1,0,0,0,1,0,0,0,0,0,3,4,3,3,2,3,3,3,3,3,3,3,3,0,2,3,2,2,1,1,3,0,1,3,3,3,2,0,2,3,3,0
65,1,1,0,2,2,1,3,1,82,0,0,1,0,0,0,1,0,0,0,0,0,3,4,3,3,2,3,3,2,2,2,2,3,3,0,2,3,2,2,1,1,3,0,1,3,3,3,2,0,2,3,3,0
66,1,1,0,2,4,0,3,1,82,0,0,0,1,0,0,1,0,0,0,0,0,3,4,3,3,2,2,3,3,3,3,2,3,3,0,2,3,2,2,1,1,3,0,1,3,3,3,2,0,2,3,2,0
67,1,0,0,2,0,0,0,0,121,0,0,0,0,0,0,2,0,0,1,0,0,4,4,4,4,4,3,3,4,3,3,2,4,3,4,3,3,2,1,1,2,2,2,1,3,3,4,2,2,3,3,3,0
68,1,0,0,2,2,1,0,0,121,2,0,1,0,0,0,2,0,0,1,0,0,4,4,4,4,4,3,2,4,2,2,2,4,3,4,3,3,2,1,1,2,2,2,1,3,3,4,2,2,2,3,3,0
69,1,0,0,2,2,1,0,0,121,1,0,1,0,0,0,2,0,0,1,0,0,4,4,4,4,4,2,3,4,2,2,2,4,3,4,3,3,2,1,1,2,2,2,1,3,3,4,2,2,2,3,3,0
70,1,0,0,2,2,1,0,0,121,0,0,0,0,0,0,2,0,0,1,0,0,4,4,4,4,4,2,2,4,2,2,2,4,3,4,3,3,2,1,1,2,2,2,1,3,3,4,2,2,2,3,2,0
71,1,0,0,2,2,1,0,0,121,0,0,1,1,0,0,2,0,0,1,0,0,4,4,4,4,4,2,3,4,3,2,2,4,3,4,3,3,2,1,1,2,2,2,1,3,3,4,2,2,2,3,3,0
73,1,0,0,2,0,0,0,0,121,0,0,1,0,0,0,2,0,0,1,0,0,4,4,4,4,4,3,4,4,2,2,2,4,3,4,3,3,2,1,1,2,2,2,1,3,3,4,2,2,3,3,3,1
75,1,0,0,2,4,0,0,0,121,0,0,0,1,0,0,2,0,0,1,0,0,4,4,4,4,4,3,3,4,3,2,2,4,3,4,3,3,2,1,1,2,2,2,1,3,3,4,2,2,2,3,3,1
77,1,0,0,2,2,1,4,0,23,2,0,1,0,0,0,2,0,1,0,0,0,2,2,3,3,2,3,3,3,2,3,3,3,0,2,3,3,3,2,1,2,3,1,3,3,3,3,2,0,4,3,3,1
79,1,0,0,2,2,1,4,0,23,0,0,0,0,0,0,2,0,1,0,0,0,2,2,3,3,2,2,2,3,3,3,3,3,0,2,3,3,3,2,1,2,3,1,3,3,3,3,2,0,3,3,2,1
80,1,0,0,2,2,1,4,0,23,0,0,1,1,0,0,2,0,1,0,0,0,2,2,3,3,2,2,3,3,3,3,3,3,0,2,3,3,3,2,1,2,3,1,3,3,3,3,2,0,2,3,2,0
81,1,0,0,2,0,0,4,0,23,0,1,0,1,0,0,2,0,1,0,0,0,2,2,3,3,2,2,2,3,3,3,3,3,0,2,3,3,3,2,1,2,3,1,3,3,3,3,2,0,2,3,2,1
82,1,0,0,2,0,0,4,0,23,0,0,1,0,0,0,2,0,1,0,0,0,2,2,3,3,2,3,3,3,2,2,2,3,0,2,3,3,3,2,1,2,3,1,3,3,3,3,2,0,3,3,3,1
83,1,0,0,2,2,1,4,0,23,0,0,1,0,0,0,2,0,1,0,0,0,2,2,3,3,2,3,3,3,3,3,3,3,0,2,3,3,3,2,1,2,3,1,3,3,3,3,2,0,3,3,3,1
84,1,0,0,2,4,0,4,0,23,0,0,0,1,0,0,2,0,1,0,0,0,2,2,3,3,2,2,2,3,3,3,3,3,0,2,3,3,3,2,1,2,3,1,3,3,3,3,2,0,3,3,2,1
85,1,1,0,2,0,0,0,0,177,0,0,0,0,0,0,1,0,1,0,0,0,3,3,2,3,1,1,2,3,2,3,3,3,0,4,3,3,2,1,0,2,1,0,3,4,3,3,0,0,3,1,0,0
86,1,1,0,2,2,1,0,0,177,2,0,1,0,0,0,1,0,1,0,0,0,3,3,2,3,1,2,1,1,1,2,1,3,0,4,3,3,2,1,0,2,1,0,3,4,3,3,0,0,3,1,1,0
90,1,1,0,2,0,0,0,0,177,0,1,0,1,0,0,1,0,1,0,0,0,3,3,2,3,1,2,2,3,1,2,1,3,0,4,3,3,2,1,0,2,1,0,3,4,3,3,0,0,3,1,1,0
91,1,1,0,2,0,0,0,0,177,0,0,1,0,0,0,1,0,1,0,0,0,3,3,2,3,1,3,2,2,1,1,1,3,0,4,3,3,2,1,0,2,1,0,3,4,3,3,0,0,3,1,2,0
93,1,1,0,2,4,0,0,0,177,0,0,0,1,0,0,1,0,1,0,0,0,3,3,2,3,1,3,2,3,3,2,2,3,0,4,3,3,2,1,0,2,1,0,3,4,3,3,0,0,3,1,3,1
94,1,1,0,2,0,0,3,3,23,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2,3,4,2,3,2,2,3,2,2,2,2,4,1,1,1,1,0,2,4,1,4,1,2,0,0,3,2,3,0
95,1,1,0,2,2,1,3,3,23,2,0,1,0,0,0,1,0,0,0,0,1,2,3,2,3,4,3,3,3,3,3,2,2,2,2,4,1,1,1,1,0,2,4,1,4,1,2,0,0,2,2,3,1
96,1,1,0,2,2,1,3,3,23,1,0,1,0,0,0,1,0,0,0,0,1,2,3,2,3,4,1,2,2,1,2,1,2,2,2,4,1,1,1,1,0,2,4,1,4,1,2,0,0,3,2,2,0
97,1,1,0,2,2,1,3,3,23,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2,3,4,2,3,3,2,2,2,2,2,2,4,1,1,1,1,0,2,4,1,4,1,2,0,0,2,2,3,0
99,1,1,0,2,0,0,3,3,23,0,1,0,1,0,0,1,0,0,0,0,1,2,3,2,3,4,2,3,3,3,3,2,2,2,2,4,1,1,1,1,0,2,4,1,4,1,2,0,0,2,2,3,0
100,1,1,0,2,0,0,3,3,23,0,0,1,0,0,0,1,0,0,0,0,1,2,3,2,3,4,3,3,2,3,3,2,2,2,2,4,1,1,1,1,0,2,4,1,4,1,2,0,0,2,2,3,1
103,1,0,0,2,0,0,0,0,82,0,0,0,0,0,0,4,0,0,0,0,0,3,3,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,1,3,4,3,1,3,3,2,2,2,4,1,2,2,0
105,1,0,0,2,2,1,0,0,82,1,0,1,0,0,0,4,0,0,0,0,0,3,3,4,4,4,2,2,3,2,3,2,4,4,4,4,4,4,1,3,4,3,1,3,3,2,2,2,4,1,2,2,0
108,1,0,0,2,0,0,0,0,82,0,1,0,1,0,0,4,0,0,0,0,0,3,3,4,4,4,3,4,4,2,4,3,4,4,4,4,4,4,1,3,4,3,1,3,3,2,2,2,4,3,2,2,0
109,1,0,0,2,0,0,0,0,82,0,0,1,0,0,0,4,0,0,0,0,0,3,3,4,4,4,3,2,3,2,3,3,4,4,4,4,4,4,1,3,4,3,1,3,3,2,2,2,4,2,2,3,0
111,1,0,0,2,4,0,0,0,82,0,0,0,1,0,0,4,0,0,0,0,0,3,3,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,1,3,4,3,1,3,3,2,2,2,4,1,2,2,0
112,1,0,0,2,2,1,0,0,82,0,0,0,1,0,0,4,0,0,0,0,0,3,3,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,1,3,4,3,1,3,3,2,2,2,4,2,2,3,0
113,0,0,0,0,0,1,3,4,168,1,0,1,0,0,0,0,0,0,0,0,0,2,4,3,4,4,2,3,3,4,2,3,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,1,2,4,0
114,0,0,0,0,2,0,3,4,168,1,1,1,0,0,0,0,0,0,0,0,0,2,4,3,4,4,2,3,3,1,4,1,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,3,2,2,0
115,0,0,0,0,2,0,3,4,168,1,0,1,1,0,0,0,0,0,0,0,0,2,4,3,4,4,3,3,3,2,3,0,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,1,2,2,0
118,0,0,1,0,2,0,3,4,168,0,0,1,1,0,0,0,0,0,0,0,0,2,4,3,4,4,1,3,3,1,3,1,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,2,2,2,0
119,0,0,0,0,2,0,3,4,168,1,0,1,1,0,0,0,0,0,0,0,0,2,4,3,4,4,3,3,3,2,2,1,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,2,2,2,0
120,0,0,0,0,0,1,3,4,168,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,4,4,4,4,4,4,3,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,3,2,4,1
121,0,0,0,0,2,0,3,4,168,1,0,1,0,0,0,0,0,0,0,0,0,2,4,3,4,4,3,1,2,1,1,0,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,3,2,0,0
122,0,0,0,0,2,0,3,4,168,0,0,0,1,0,0,0,0,0,0,0,0,2,4,3,4,4,2,3,3,2,3,0,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,4,2,2,0
123,0,0,1,0,2,0,3,4,168,1,0,0,0,0,0,0,0,0,0,0,0,2,4,3,4,4,2,3,3,3,3,0,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,2,2,2,0
125,0,0,0,0,1,0,3,4,168,0,1,1,0,0,0,0,0,0,0,0,0,2,4,3,4,4,2,4,4,3,4,2,4,3,4,2,2,2,0,0,1,2,4,1,3,1,3,2,0,3,2,3,0
127,0,1,0,1,0,0,0,0,201,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,2,2,2,2,1,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,3,1,1,0
128,0,1,0,1,2,0,0,0,201,1,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,3,2,3,1,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,2,1,1,0
129,0,1,0,1,2,0,0,0,201,1,0,1,1,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,3,3,3,2,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,1,1,2,1
130,0,1,1,1,2,0,0,0,201,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,3,1,2,2,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,2,1,2,1
131,0,1,0,1,2,0,0,0,201,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,2,3,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,1,1,3,1
132,0,1,0,1,2,0,0,0,201,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,1,2,1,1,0,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,1,1,0,0
133,0,1,0,1,2,0,0,0,201,0,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,3,1,2,3,2,2,1,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,2,1,0,0
134,0,1,1,1,2,0,0,0,201,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,3,3,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,3,1,3,1
135,0,1,1,1,2,0,0,0,201,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,2,2,1,2,1,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,3,1,1,0
136,0,1,0,1,1,1,0,0,201,0,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,3,3,3,3,0,0,0,3,3,3,0,0,2,3,3,3,4,3,3,3,3,2,1,3,1
138,0,0,0,0,2,0,4,2,178,1,1,1,0,0,0,0,0,1,0,0,0,2,3,2,3,3,2,3,3,2,2,3,0,0,1,4,3,2,2,2,3,3,4,4,4,4,4,4,1,1,2,3,1
139,0,0,0,0,2,0,4,2,178,1,0,1,1,0,0,0,0,1,0,0,0,2,3,2,3,3,3,3,3,2,2,4,0,0,1,4,3,2,2,2,3,3,4,4,4,4,4,4,1,2,2,4,1
140,0,0,1,0,2,0,4,2,178,1,0,1,0,0,0,0,0,1,0,0,0,2,3,2,3,3,2,3,3,2,3,2,0,0,1,4,3,2,2,2,3,3,4,4,4,4,4,4,1,2,2,3,1
141,0,0,0,0,2,0,4,2,178,0,1,0,0,0,0,0,0,1,0,0,0,2,3,2,3,3,3,2,3,3,3,2,0,0,1,4,3,2,2,2,3,3,4,4,4,4,4,4,1,1,2,3,1
142,0,0,1,0,2,0,4,2,178,0,0,1,1,0,0,0,0,1,0,0,0,2,3,2,3,3,2,2,3,2,2,2,0,0,1,4,3,2,2,2,3,3,4,4,4,4,4,4,1,3,2,2,0
144,0,0,0,0,0,1,4,2,178,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,3,3,3,3,2,3,2,3,0,0,1,4,3,2,2,2,3,3,4,4,4,4,4,4,1,1,2,3,1
146,0,0,0,0,2,0,4,2,178,0,0,0,1,0,0,0,0,1,0,0,0,2,3,2,3,3,2,2,2,3,2,2,0,0,1,4,3,2,2,2,3,3,4,4,4,4,4,4,1,2,2,2,0
147,0,0,1,0,2,0,4,2,178,1,0,0,0,0,0,0,0,1,0,0,0,2,3,2,3,3,2,3,2,2,2,2,0,0,1,4,3,2,2,2,3,3,4,4,4,4,4,4,1,3,2,2,0
149,0,1,1,2,2,1,0,1,192,0,0,1,1,0,0,0,0,0,0,0,0,3,4,4,3,3,2,3,3,3,3,3,4,0,4,4,2,2,4,2,1,2,0,2,4,3,3,2,3,2,2,3,0
151,0,0,0,2,2,1,4,0,192,1,1,1,0,0,0,0,0,0,0,0,0,3,4,3,3,2,1,2,4,1,4,1,3,1,3,3,2,1,2,2,3,3,4,3,4,2,3,3,1,1,2,1,0
152,0,0,0,2,2,1,4,0,192,1,0,1,1,0,0,0,0,0,0,0,0,3,4,3,3,2,2,3,4,3,4,1,3,1,3,3,2,1,2,2,3,3,4,3,4,2,3,3,1,1,2,2,0
153,0,0,1,2,2,1,4,0,192,1,0,1,0,0,0,0,0,0,0,0,0,3,4,3,3,2,2,3,3,2,3,3,3,1,3,3,2,1,2,2,3,3,4,3,4,2,3,3,1,2,2,3,0
155,0,0,1,2,2,1,4,0,192,0,0,1,1,0,0,0,0,0,0,0,0,3,4,3,3,2,1,3,4,3,4,2,3,1,3,3,2,1,2,2,3,3,4,3,4,2,3,3,1,2,2,3,0
157,0,0,0,2,2,1,4,0,192,1,0,1,0,0,0,0,0,0,0,0,0,3,4,3,3,2,2,2,3,3,4,3,3,1,3,3,2,1,2,2,3,3,4,3,4,2,3,3,1,2,2,2,0
158,0,0,0,2,2,1,4,0,192,0,0,0,1,0,0,0,0,0,0,0,0,3,4,3,3,2,2,1,3,2,4,3,3,1,3,3,2,1,2,2,3,3,4,3,4,2,3,3,1,3,2,2,0
160,0,0,1,2,2,1,4,0,192,1,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,2,2,3,3,2,4,2,3,1,3,3,2,1,2,2,3,3,4,3,4,2,3,3,1,2,2,2,0
161,0,0,0,2,1,0,4,0,192,0,1,1,0,0,0,0,0,0,0,0,0,3,4,3,3,2,3,3,3,3,3,2,3,1,3,3,2,1,2,2,3,3,4,3,4,2,3,3,1,3,2,3,0
162,0,0,0,2,0,0,0,1,192,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,2,2,1,2,0,4,1,4,3,3,1,2,1,3,1,1,4,4,2,1,2,0,1,3,0,0
163,0,0,0,2,2,1,0,1,192,1,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,2,3,0,3,0,4,1,4,3,3,1,2,1,3,1,1,4,4,2,1,2,0,2,3,0,0
